family,index,round,score,global_rmse,local_rmse,residual_local_rmse,weighted_coverage,improved
edge_rolloff,2,1,-4.697565065050254e-05,0.0005836917810183685,0.0010252757647076643,0.0010252757647076643,13.918732687774831,True
edge_rolloff,2,2,-0.00011079870316648126,0.0005733016397946431,0.0010060858902120407,0.0010060858902120407,13.984403562032048,True
edge_rolloff,2,3,-0.0003545820676408339,0.000539445386260334,0.0009241867516174691,0.0009241867516174691,14.174098161489265,True
edge_rolloff,2,4,-0.0005378398353950765,0.0005133424709699733,0.0008545783998704303,0.0008545783998704302,14.228984730464767,True
edge_rolloff,2,5,-0.0006031051525949255,0.000504606813891397,0.0008323238166356351,0.0008323238166356351,14.277959907105782,True
edge_rolloff,2,6,-0.0006111233192233495,0.0005103008459544766,0.0008357359649779906,0.0008357359649779906,14.382348458158033,True
edge_rolloff,2,7,-0.0006300670813735865,0.0005078446941320357,0.0008287803776928436,0.0008287803776928436,14.391752843302969,True
edge_rolloff,2,8,-0.0007772942222425017,0.0004878091298641846,0.000774183462164693,0.000774183462164693,14.454443113262709,True
edge_rolloff,2,9,-0.0007892502418270189,0.0004896838438411048,0.0007816901223601818,0.0007816901223601818,14.602416713122528,True
edge_rolloff,2,10,-0.0008888617101497141,0.0004676095821671354,0.0007423562014511488,0.0007423562014511488,14.577096576821312,True
edge_rolloff,2,11,-0.0009096861407055,0.0004908543341663476,0.0007205996593885393,0.0007205996593885393,14.5689987979389,True
edge_rolloff,2,12,-0.0009717905560310252,0.0005777578097175128,0.000661068577015827,0.000661068577015827,14.688961887408874,True
edge_rolloff,2,13,-0.0009886391010432588,0.0005747293106984605,0.0006598854173609074,0.0006598854173609074,14.745638940998123,True
edge_rolloff,2,14,-0.001035153430700873,0.000561822164171059,0.0006601170076777237,0.0006601170076777237,14.916106554975759,True
edge_rolloff,3,0,0.002280617005189773,0.0011016440565489655,0.001918041014731536,0.001918041014731536,14.244565911477087,
edge_rolloff,3,1,0.002232801772965376,0.0010968605860319058,0.0019059726536574664,0.0019059726536574664,14.333006928736046,True
edge_rolloff,3,2,0.0020176663753723816,0.0010691483450328977,0.0018334552500360042,0.0018334552500360042,14.508689973680626,True
edge_rolloff,3,3,0.0019362721734878662,0.00105594006042128,0.0017963343019931149,0.0017963343019931149,14.459849605594776,True
edge_rolloff,3,4,0.0019283616856738063,0.0010538167264796596,0.001792878452928856,0.001792878452928856,14.452498959782254,True
edge_rolloff,3,5,0.0018736523794361261,0.001052862853072199,0.001771007087664701,0.001771007087664701,14.491626788659726,True
edge_rolloff,3,6,0.0018669610849418863,0.0010548878715824375,0.0017718074695049458,0.0017718074695049458,14.543612363004685,True
edge_rolloff,3,7,0.0014582559411097022,0.000990493056604874,0.0016123827295232707,0.0016123827295232707,14.591204237470203,True
edge_rolloff,3,8,0.001454466089029445,0.0009944843077020235,0.001609239200617524,0.001609239200617524,14.597102699846893,True
edge_rolloff,3,9,0.0013846593488745442,0.0009719092456393105,0.0015863565951206742,0.0015863565951206742,14.59299373259091,True
edge_rolloff,3,10,0.0012203606027795847,0.0009507710107834912,0.0015258433569863348,0.0015258433569863348,14.673407288376051,True
edge_rolloff,3,11,0.0011675241584510202,0.0010764232416803226,0.0014410451917782326,0.0014410451917782326,14.675469929817954,True
edge_rolloff,3,12,0.001163868167271165,0.0013714212782407018,0.001306481264226892,0.001306481264226892,14.755818829230051,True
edge_rolloff,3,13,0.0010342409605151588,0.0013639184068186187,0.001254040657784309,0.001254040657784309,14.815814138252541,True
edge_rolloff,3,14,0.0010232620285773892,0.001367305241548073,0.0012543998571054368,0.0012543998571054368,14.891414564460504,True
edge_rolloff,4,0,0.002037230866090888,0.0010253016190592884,0.001842611832608133,0.001842611832608133,14.2877780072274,
edge_rolloff,4,1,0.0020327387760945047,0.0010066134320704735,0.001853435539250264,0.0018534355392502643,14.330446442007618,True
edge_rolloff,4,2,0.0020158151083538825,0.0010064306960023842,0.0018523865115665607,0.0018523865115665607,14.403136309691394,True
edge_rolloff,4,3,0.0019873864062980758,0.0009997673578726843,0.0018479666771811884,0.0018479666771811884,14.465554868275525,True
edge_rolloff,4,4,0.0016799502120279546,0.000940308321874011,0.0017329420479764923,0.0017329420479764923,14.497682052983453,True
edge_rolloff,4,5,0.0014760837024696992,0.0009046493981705072,0.0016641678471090969,0.0016641678471090969,14.616590873149557,True
edge_rolloff,4,6,0.0013969256097225678,0.0009082155787749088,0.0016301931506899146,0.0016301931506899146,14.673477927505813,True
edge_rolloff,4,7,0.0013691444705054984,0.0009058979215508228,0.0016214658693073248,0.0016214658693073248,14.709158882953531,True
edge_rolloff,4,8,0.0011641653951158229,0.000874560420061303,0.0015488391890514544,0.0015488391890514544,14.814786609767673,True
edge_rolloff,4,9,0.0011303475959841538,0.0008677442553913621,0.0015372252781924783,0.0015372252781924783,14.827848718057062,True
edge_rolloff,4,10,0.0008232224063497717,0.0008314801795692988,0.0014390763783029864,0.0014390763783029864,15.151590838278993,True
edge_rolloff,4,11,0.0008109888754555374,0.0008357286598973171,0.001427837144678758,0.001427837144678758,15.115988941335857,True
edge_rolloff,4,12,0.000693993324064095,0.0008244288870948649,0.001382719920944657,0.001382719920944657,15.17073698507275,True
edge_rolloff,4,13,0.000684151204681134,0.000899294795505561,0.0013414109913563667,0.0013414109913563667,15.160533363363987,True
edge_rolloff,4,14,0.0006698337246048257,0.000899349433454574,0.001336584958063057,0.001336584958063057,15.181720603910842,True
local_bump,0,0,0.0007436991740921704,0.0007116710939084205,0.0013150396800111627,0.0013150396800111629,13.64777623919846,
local_bump,0,1,0.000718788697473288,0.0007075855682664916,0.001305808856622959,0.001305808856622959,13.654977348507089,True
local_bump,0,2,0.0006685907153352925,0.0006941128625297122,0.001291294649191037,0.001291294649191037,13.686204552477989,True
local_bump,0,3,0.0006605150068202214,0.0006884916860393584,0.001286974370765138,0.001286974370765138,13.653114289129636,True
local_bump,0,4,0.0006413967435958952,0.0006844564288358406,0.0012870452380362484,0.0012870452380362484,13.729273425580336,True
local_bump,0,5,0.00036552592924672753,0.0006890584564114229,0.0011717197936587942,0.0011717197936587942,13.920720469240816,True
local_bump,0,6,0.0001925284799088006,0.0006564316363222276,0.001103869622926236,0.001103869622926236,13.910146822792612,True
local_bump,0,7,0.000160199673875136,0.0006604784456141408,0.0010917623722179325,0.0010917623722179325,13.964898766983316,True
local_bump,0,8,0.00011003563164262067,0.0006530721580198809,0.0010763884082877228,0.0010763884082877228,14.017260918907391,True
local_bump,0,9,0.0001008060867428843,0.0006510222291475745,0.0010720650983277666,0.0010720650983277666,14.007764244465001,True
local_bump,0,10,8.99064403564482e-05,0.0006468437395765693,0.0010714159940725255,0.0010714159940725255,14.034554433862123,True
local_bump,0,11,8.307507684519877e-05,0.0006463926239382396,0.0010676427807201291,0.0010676427807201291,14.026836933026559,True
local_bump,0,12,7.272278973183971e-05,0.0006458542210726054,0.0010608979583776993,0.0010608979583776993,14.005085719669673,True
local_bump,0,13,2.639288913992236e-05,0.0006361211781972993,0.0010418045765759616,0.0010418045765759616,13.98758949933448,True
local_bump,0,14,2.0987810930333823e-05,0.0006391527762537271,0.0010421894945373588,0.0010421894945373588,14.033814519259234,True
local_bump,1,0,-0.002203100768195889,0.00011642519674375453,0.00018591612219095603,0.00018591612219095603,13.549749107703256,
local_bump,1,1,-0.002212741695048877,0.00011533836935268231,0.00018395669824319963,0.00018395669824319965,13.571945653561391,True
local_bump,1,2,-0.002228356570159927,0.00011512274117206373,0.0001833145381198434,0.0001833145381198434,13.64219920691831,True
local_bump,1,3,-0.0022345037360393403,0.00011472306575575644,0.000180785345643807,0.000180785345643807,13.644380138235457,True
local_bump,1,4,-0.0022494789623394274,0.00011422660618828648,0.00017968070541371912,0.00017968070541371912,13.70517524948262,True
local_bump,1,5,-0.002263638385493639,0.00011572315562737804,0.00018131223869436282,0.0001813122386943628,13.800586211895892,True
local_bump,1,6,-0.0022639647547225902,0.00011579196019110533,0.00018136359982069727,0.00018136359982069732,13.8031013726858,True
local_bump,1,7,-0.0023299723968567276,0.00011346736225786574,0.00016764514182287488,0.00016764514182287485,13.977472784713154,True
local_bump,1,8,-0.002431287447403715,9.626024197870749e-05,0.0001390464497648279,0.0001390464497648279,14.097726169442804,True
local_bump,1,9,-0.0024560765909104046,9.539571818814385e-05,0.00013789102953263088,0.00013789102953263088,14.205217355585367,True
local_bump,1,10,-0.002467978691786942,9.570957283388207e-05,0.00013727035463942345,0.00013727035463942345,14.259780046818065,True
local_bump,1,11,-0.00247772458205168,9.476672097601009e-05,0.00013740592593932627,0.00013740592593932625,14.305218737501377,True
local_bump,1,12,-0.0025115096407159624,8.796099753309237e-05,0.00013244904711770102,0.00013244904711770105,14.388068185981133,True
local_bump,1,13,-0.0025115096407159624,8.796099753309237e-05,0.00013244904711770102,0.00013244904711770105,14.388068185981133,False
local_bump,1,14,-0.002529954237667079,8.482412215748182e-05,0.00012729316814402047,0.00012729316814402047,14.41047006463502,True
local_bump,2,0,0.0017297798153577443,0.001001272482758044,0.0016731896157639928,0.0016731896157639928,13.92595430252342,
local_bump,2,1,0.001217289570789044,0.0009554687997845786,0.001472808078642415,0.001472808078642415,14.155380970723032,True
local_bump,2,2,0.001190983587859408,0.0009506544208769277,0.0014665193270442935,0.0014665193270442935,14.19680709905268,True
local_bump,2,3,0.0011131502284286942,0.0009508720018888097,0.0014414698521584858,0.0014414698521584858,14.324042314964679,True
local_bump,2,4,0.0008667937662266067,0.0009143635564478923,0.0013473021392003258,0.001347302139200326,14.384521412709848,True
local_bump,2,5,0.0008405959748978083,0.0009032742322190508,0.0013399464665235445,0.0013399464665235445,14.38282918510343,True
local_bump,2,6,0.0008279837773615805,0.0009033175635738451,0.0013378883425083869,0.0013378883425083869,14.424496527399386,True
local_bump,2,7,0.000822743219972609,0.0008990149752113408,0.0013370909525135108,0.0013370909525135108,14.42081377758552,True
local_bump,2,8,0.0004341205826362145,0.0007855495090855331,0.001212892888147754,0.001212892888147754,14.49251995779801,True
local_bump,2,9,0.00041807153964917116,0.000784207054812865,0.001206325740870826,0.001206325740870826,14.49709785496214,True
local_bump,2,10,0.00040855151944551226,0.0007766003482490366,0.0012026921277528918,0.0012026921277528918,14.468511485422987,True
local_bump,2,11,0.0003804398716762509,0.0008229636310803937,0.001180772776389986,0.001180772776389986,14.610732949115567,True
local_bump,2,12,0.0003767125986555834,0.0008221260347480647,0.0011872428910415802,0.0011872428910415802,14.693117536398999,True
local_bump,2,13,0.0003642982207707466,0.0008189499334465938,0.0011804832496402822,0.0011804832496402822,14.668332684602197,True
local_bump,2,14,0.00035060568583488057,0.0008045248182715893,0.0011835964778153395,0.0011835964778153395,14.697358679244608,True
local_bump,3,0,0.0011168283979196432,0.0007615404724845594,0.0014524973993031611,0.0014524973993031611,13.474783065507774,
local_bump,3,1,0.0010903889455759347,0.000761825426483263,0.001450904716350464,0.001450904716350464,13.591681926216514,True
local_bump,3,2,0.0009919455157436229,0.000735231516367391,0.001418042231629374,0.001418042231629374,13.605873435227268,True
local_bump,3,3,0.0009244585506796876,0.000723996230101904,0.001393189593066302,0.001393189593066302,13.626179124307253,True
local_bump,3,4,0.00010759011927890779,0.0006198117147384113,0.0010729354086663374,0.0010729354086663374,13.826929768294063,True
local_bump,3,5,5.707787216493532e-05,0.0006103974208085648,0.0010605736093675868,0.0010605736093675868,13.902620641577807,True
local_bump,3,6,-0.00018010433338006828,0.0005844497946955248,0.0009704370392973145,0.0009704370392973146,14.012359552999769,True
local_bump,3,7,-0.00027800657998557077,0.0005346842012799516,0.0009490736687067483,0.0009490736687067483,14.028727427748468,True
local_bump,3,8,-0.0006063844376910515,0.0005361074182916552,0.0007987698413723706,0.0007987698413723706,14.099542614323424,True
local_bump,3,9,-0.0006141728993155379,0.000535431751407308,0.0007960553098614891,0.0007960553098614891,14.106604007159863,True
